YSR,tshell,Dyolk,φMXene,Asurface,iontype,rion,Eads,ΔGformation,DOSFermi,dinterlayer,Ea,σmax,epsilon_void,Surface_Term,C_theoretical,CE_initial,Crate,Stability_mech,C_0.1C,Retention_200,sigma_eff
0.812,15.8,221,0.138,372,Na,1.02,-0.468,-0.898,0.242,12.18,0.698,2.595,59.8,OH,3120,93.88,59.15,0,1052,72.95,5.22
0.552,38.8,165,0.398,610,Li,0.76,-0.808,-1.438,0.528,9.52,0.282,0.602,50.2,O,3579,99.18,94.15,1,2037,96.95,39.95
0.672,25.3,193,0.308,572,Li,0.76,-0.688,-1.218,0.418,10.02,0.372,1.022,43.2,O,3579,97.98,88.45,1,1837,92.75,27.22
0.722,22.3,200,0.258,502,K,1.38,-0.578,-1.088,0.338,12.28,0.562,1.582,50.2,F,2950,96.08,70.75,0,1367,81.45,16.82
0.592,32.8,175,0.368,597,Li,0.76,-0.738,-1.318,0.468,9.82,0.332,0.782,45.2,O,3579,98.58,92.15,1,1952,95.45,36.52
0.832,17.3,215,0.148,377,Na,1.02,-0.488,-0.908,0.252,12.08,0.668,2.495,58.8,OH,3120,94.28,60.45,0,1072,74.15,5.82
0.572,37.3,167,0.388,604,Li,0.76,-0.788,-1.388,0.508,9.62,0.302,0.662,48.2,O,3579,98.98,93.75,1,2017,96.65,39.22
0.642,27.3,185,0.328,584,Li,0.76,-0.708,-1.248,0.428,9.92,0.362,0.932,42.2,O,3579,98.28,89.75,1,1887,94.05,30.12
0.702,24.3,198,0.288,532,Li,0.76,-0.668,-1.168,0.398,10.22,0.392,1.152,46.2,O,3579,97.78,87.45,1,1812,92.15,25.02
0.772,20.3,207,0.208,442,K,1.38,-0.538,-1.018,0.312,12.38,0.592,1.952,55.2,F,2950,95.68,67.45,0,1282,79.75,11.52
0.612,30.3,178,0.338,590,Li,0.76,-0.728,-1.278,0.458,9.78,0.352,0.872,41.2,O,3579,98.38,90.75,1,1912,94.55,32.22
0.802,17.8,212,0.168,397,Na,1.02,-0.498,-0.938,0.278,11.88,0.648,2.315,56.8,OH,3120,94.68,62.15,0,1117,75.45,7.22
0.562,38.3,164,0.408,614,Li,0.76,-0.818,-1.448,0.538,9.52,0.272,0.582,51.2,O,3579,99.28,94.45,1,2042,97.15,41.82
0.682,23.6,195,0.298,550,Li,0.76,-0.678,-1.188,0.408,10.12,0.382,1.082,44.2,O,3579,97.88,87.95,1,1832,92.55,26.52
0.742,21.6,202,0.248,492,K,1.38,-0.558,-1.058,0.318,12.48,0.582,1.752,52.2,F,2950,95.98,68.95,0,1332,80.45,14.22
0.632,28.6,184,0.318,580,Li,0.76,-0.698,-1.238,0.438,9.92,0.362,0.942,43.2,O,3579,98.18,89.15,1,1872,93.85,29.02
0.792,19,210,0.178,407,Na,1.02,-0.508,-0.948,0.278,11.78,0.638,2.245,55.8,OH,3120,94.88,63.15,0,1137,76.75,7.95
0.582,35.3,170,0.378,602,Li,0.76,-0.768,-1.368,0.498,9.72,0.312,0.702,47.2,O,3579,98.88,92.95,1,1987,95.95,37.82
0.662,26.6,190,0.298,562,Li,0.76,-0.688,-1.208,0.418,10.02,0.372,1.002,44.2,O,3579,98.08,88.75,1,1847,92.95,27.82
0.712,23,199,0.268,512,K,1.38,-0.588,-1.108,0.348,12.28,0.552,1.522,49.2,F,2950,96.18,71.15,0,1377,81.95,17.52
0.602,31.3,177,0.348,592,Li,0.76,-0.718,-1.268,0.448,9.78,0.352,0.862,40.2,O,3579,98.48,91.15,1,1902,94.65,33.52
0.615,28.2,180.5,0.322,582,Li,0.76,-0.678,-1.208,0.414,10.08,0.382,0.915,42.3,O,3579,98.12,89.1,1,1855,93.3,28.7
0.775,15.3,219.5,0.177,422,Na,1.02,-0.518,-0.978,0.292,11.78,0.608,2.095,57.7,OH,3120,95.28,64.9,0,1208,78.45,8.25
0.555,34.8,160.2,0.418,618,Li,0.76,-0.748,-1.348,0.478,9.72,0.322,0.685,38.2,O,3579,98.68,92.4,1,1978,95.75,42
0.705,21.8,200.2,0.282,512,K,1.38,-0.588,-1.098,0.342,12.28,0.552,1.448,47.8,F,2950,96.22,71.85,0,1382,82.25,18.85
0.582,39.7,170.2,0.378,598,Li,0.76,-0.798,-1.418,0.518,9.52,0.292,0.625,51.7,O,3579,98.98,93.95,1,2018,96.45,38.35
0.652,24.8,190.2,0.248,492,Li,0.76,-0.718,-1.278,0.448,10.02,0.352,1.045,44.8,O,3579,97.78,87.45,1,1782,91.75,22.45
0.822,17.8,210.2,0.148,382,Na,1.02,-0.478,-0.918,0.252,11.98,0.678,2.445,54.8,OH,3120,94.08,60.15,0,1082,74.05,6.05
0.602,29.8,175.2,0.352,592,Li,0.76,-0.698,-1.248,0.438,9.92,0.362,0.885,40.2,O,3579,98.38,90.55,1,1882,93.95,32.8
0.732,19.8,205.2,0.218,462,Na,1.02,-0.548,-1.048,0.308,11.48,0.578,1.815,49.8,F,3120,95.78,68.05,0,1322,80.15,12.45
0.562,37.8,165.2,0.398,612,Li,0.76,-0.778,-1.378,0.498,9.62,0.302,0.655,47.8,O,3579,98.88,93.15,1,1997,96.15,40.5
0.682,23.8,195.2,0.298,552,Li,0.76,-0.658,-1.178,0.388,10.22,0.402,1.118,43.8,O,3579,97.48,87.95,1,1822,92.45,26.8
0.752,16.3,215.2,0.188,402,K,1.38,-0.498,-0.948,0.272,12.08,0.638,2.275,59.8,F,2950,94.78,63.45,0,1152,76.75,9.2
0.592,31.8,172.2,0.362,597,Li,0.76,-0.728,-1.298,0.462,9.78,0.338,0.825,41.2,O,3579,98.58,91.75,1,1922,94.95,35.2
0.802,18.8,208.2,0.158,392,Na,1.02,-0.488,-0.928,0.262,11.88,0.658,2.375,56.8,OH,3120,94.48,61.75,0,1102,74.95,6.75
0.572,36.3,168.2,0.388,607,Li,0.76,-0.768,-1.358,0.488,9.68,0.312,0.685,46.2,O,3579,98.78,93.45,1,2003,96.35,39.8
0.632,26.8,182.2,0.328,587,Li,0.76,-0.688,-1.228,0.418,9.98,0.368,0.955,43.2,O,3579,97.98,88.75,1,1867,93.45,29.5
0.712,23.3,198.2,0.268,507,K,1.38,-0.598,-1.118,0.352,12.18,0.538,1.485,48.8,F,2950,95.98,71.45,0,1397,82.75,18.2
0.612,28.8,178.2,0.338,590,Li,0.76,-0.708,-1.258,0.432,9.88,0.358,0.905,41.2,O,3579,98.28,89.95,1,1892,94.15,31.5
0.772,16.8,218.2,0.168,412,Na,1.02,-0.508,-0.958,0.278,11.88,0.628,2.195,55.8,OH,3120,94.78,62.45,0,1122,76.15,7.45
0.542,36.8,162.2,0.408,617,Li,0.76,-0.788,-1.398,0.508,9.58,0.298,0.645,48.8,O,3579,99.08,93.75,1,2012,96.75,41.2
0.662,25.8,188.2,0.288,542,Li,0.76,-0.668,-1.188,0.398,10.08,0.388,1.085,44.2,O,3579,97.68,87.75,1,1807,91.95,25.8
0.742,20.8,202.2,0.238,482,K,1.38,-0.568,-1.078,0.328,12.38,0.572,1.685,51.2,F,2950,95.88,69.45,0,1342,80.95,15.2
0.642,27.8,185.2,0.308,577,Li,0.76,-0.698,-1.238,0.438,9.92,0.352,0.925,42.2,O,3579,98.18,89.45,1,1877,93.75,28
0.792,18.3,212.2,0.158,387,Na,1.02,-0.498,-0.938,0.272,11.98,0.648,2.345,57.8,OH,3120,94.58,60.95,0,1097,74.75,6.45
0.582,33.8,170.2,0.368,600,Li,0.76,-0.758,-1.338,0.488,9.72,0.322,0.705,47.2,O,3579,98.68,92.75,1,1977,95.85,37.2
0.692,22.8,196.2,0.278,522,Li,0.76,-0.678,-1.198,0.408,10.12,0.382,1.105,45.2,O,3579,97.88,88.15,1,1842,92.75,24.5
0.762,19.3,210.2,0.198,432,K,1.38,-0.528,-0.998,0.302,12.48,0.602,2.055,59.2,F,2950,95.48,66.75,0,1252,79.15,10.8
0.602,30.8,176.2,0.348,594,Li,0.76,-0.718,-1.268,0.448,9.82,0.342,0.855,40.2,O,3579,98.48,90.95,1,1907,94.75,33.8
0.812,15.8,220.2,0.138,372,Na,1.02,-0.468,-0.898,0.242,12.18,0.698,2.595,59.8,OH,3120,93.88,59.15,0,1052,72.95,5.15
0.552,38.8,164.2,0.398,610,Li,0.76,-0.808,-1.438,0.528,9.52,0.282,0.605,50.2,O,3579,99.18,94.15,1,2037,96.95,39.95
0.672,25.3,192.2,0.308,572,Li,0.76,-0.688,-1.218,0.418,10.02,0.372,1.025,43.2,O,3579,97.98,88.45,1,1837,92.75,27.2
0.722,22.3,199.2,0.258,502,K,1.38,-0.578,-1.088,0.338,12.28,0.562,1.585,50.2,F,2950,96.08,70.75,0,1367,81.45,16.8
0.592,32.8,174.2,0.368,597,Li,0.76,-0.738,-1.318,0.468,9.82,0.332,0.785,45.2,O,3579,98.58,92.15,1,1952,95.45,36.5
0.832,17.3,214.2,0.148,377,Na,1.02,-0.488,-0.908,0.252,12.08,0.668,2.495,58.8,OH,3120,94.28,60.45,0,1072,74.15,5.8
0.572,37.3,166.2,0.388,604,Li,0.76,-0.788,-1.388,0.508,9.62,0.302,0.665,48.2,O,3579,98.98,93.75,1,2017,96.65,39.2
0.642,27.3,184.2,0.328,584,Li,0.76,-0.708,-1.248,0.428,9.92,0.362,0.935,42.2,O,3579,98.28,89.75,1,1887,94.05,30.1
0.702,24.3,197.2,0.288,532,Li,0.76,-0.668,-1.168,0.398,10.22,0.392,1.155,46.2,O,3579,97.78,87.45,1,1812,92.15,25
0.772,20.3,206.2,0.208,442,K,1.38,-0.538,-1.018,0.312,12.38,0.592,1.955,55.2,F,2950,95.68,67.45,0,1282,79.75,11.5
0.612,30.3,177.2,0.338,590,Li,0.76,-0.728,-1.278,0.458,9.78,0.352,0.875,41.2,O,3579,98.38,90.75,1,1912,94.55,32.2
0.802,17.8,211.2,0.168,397,Na,1.02,-0.498,-0.938,0.278,11.88,0.648,2.315,56.8,OH,3120,94.68,62.15,0,1117,75.45,7.2
0.562,38.3,163.2,0.408,614,Li,0.76,-0.818,-1.448,0.538,9.52,0.272,0.585,51.2,O,3579,99.28,94.45,1,2042,97.15,41.8
0.682,23.6,194.2,0.298,550,Li,0.76,-0.678,-1.188,0.408,10.12,0.382,1.085,44.2,O,3579,97.88,87.95,1,1832,92.55,26.5
0.742,21.6,201.2,0.248,492,K,1.38,-0.558,-1.058,0.318,12.48,0.582,1.755,52.2,F,2950,95.98,68.95,0,1332,80.45,14.2
0.632,28.6,183.2,0.318,580,Li,0.76,-0.698,-1.238,0.438,9.92,0.362,0.945,43.2,O,3579,98.18,89.15,1,1872,93.85,29
0.792,19,209.2,0.178,407,Na,1.02,-0.508,-0.948,0.278,11.78,0.638,2.245,55.8,OH,3120,94.88,63.15,0,1137,76.75,7.95
0.582,35.3,169.2,0.378,602,Li,0.76,-0.768,-1.368,0.498,9.72,0.312,0.705,47.2,O,3579,98.88,92.95,1,1987,95.95,37.8
0.662,26.6,189.2,0.298,562,Li,0.76,-0.688,-1.208,0.418,10.02,0.372,1.005,44.2,O,3579,98.08,88.75,1,1847,92.95,27.8
0.712,23,198.2,0.268,512,K,1.38,-0.588,-1.108,0.348,12.28,0.552,1.525,49.2,F,2950,96.18,71.15,0,1377,81.95,17.5
0.602,31.3,176.2,0.348,592,Li,0.76,-0.718,-1.268,0.448,9.78,0.352,0.865,40.2,O,3579,98.48,91.15,1,1902,94.65,33.5
0.618,28.4,179.8,0.322,584,Li,0.76,-0.682,-1.212,0.414,10.08,0.382,0.918,42.4,O,3579,98.15,89.2,1,1858,93.35,28.75
0.778,14.8,220.2,0.178,418,Na,1.02,-0.518,-0.978,0.294,11.76,0.608,2.098,57.6,OH,3120,95.25,64.8,0,1205,78.4,8.15
0.548,35.2,159.8,0.418,622,Li,0.76,-0.752,-1.348,0.478,9.68,0.318,0.678,37.8,O,3579,98.72,92.6,1,1982,95.85,42.15
0.702,21.8,200.2,0.282,512,K,1.38,-0.592,-1.102,0.342,12.28,0.548,1.452,47.8,F,2950,96.18,71.9,0,1385,82.35,18.95
0.584,39.6,170.2,0.378,598,Li,0.76,-0.802,-1.418,0.522,9.48,0.288,0.622,51.8,O,3579,99.02,94.1,1,2022,96.55,38.45
0.648,25.2,189.8,0.248,492,Li,0.76,-0.722,-1.282,0.448,9.98,0.348,1.052,44.8,O,3579,97.78,87.4,1,1785,91.85,22.65
0.824,17.8,210.2,0.148,382,Na,1.02,-0.478,-0.918,0.248,12.02,0.678,2.452,54.8,OH,3120,94.08,60.1,0,1085,74.15,6.15
0.604,29.8,175.2,0.352,592,Li,0.76,-0.702,-1.252,0.442,9.88,0.358,0.885,40.2,O,3579,98.42,90.6,1,1885,94.05,32.95
0.728,20.2,204.8,0.218,462,Na,1.02,-0.552,-1.052,0.308,11.48,0.578,1.822,49.8,F,3120,95.78,68.1,0,1325,80.25,12.55
0.564,37.6,165.2,0.398,612,Li,0.76,-0.782,-1.378,0.498,9.58,0.298,0.655,47.8,O,3579,98.92,93.3,1,1998,96.25,40.65
0.684,23.6,195.2,0.298,552,Li,0.76,-0.662,-1.182,0.388,10.22,0.398,1.125,43.8,O,3579,97.48,88.1,1,1825,92.55,26.95
0.754,16.3,215.2,0.188,402,K,1.38,-0.502,-0.952,0.272,12.08,0.638,2.285,59.8,F,2950,94.78,63.5,0,1155,76.85,9.35
0.594,31.6,172.2,0.362,597,Li,0.76,-0.732,-1.302,0.462,9.78,0.338,0.825,41.2,O,3579,98.58,91.9,1,1925,95.05,35.35
0.804,18.8,208.2,0.158,392,Na,1.02,-0.488,-0.928,0.258,11.88,0.658,2.385,56.8,OH,3120,94.48,61.8,0,1105,75.05,6.95
0.574,36.2,168.2,0.388,607,Li,0.76,-0.772,-1.358,0.488,9.68,0.308,0.685,46.2,O,3579,98.78,93.6,1,2008,96.45,39.95
0.634,26.6,182.2,0.328,587,Li,0.76,-0.692,-1.232,0.418,9.98,0.368,0.955,43.2,O,3579,97.98,88.9,1,1870,93.55,29.65
0.714,23.2,198.2,0.268,507,K,1.38,-0.602,-1.122,0.352,12.18,0.538,1.485,48.8,F,2950,95.98,71.6,0,1400,82.85,18.35
0.614,28.6,178.2,0.338,590,Li,0.76,-0.712,-1.262,0.432,9.88,0.358,0.905,41.2,O,3579,98.28,90.1,1,1895,94.25,31.65
0.774,16.8,218.2,0.168,412,Na,1.02,-0.512,-0.962,0.278,11.88,0.628,2.205,55.8,OH,3120,94.78,62.6,0,1125,76.25,7.65
0.544,36.8,162.2,0.408,617,Li,0.76,-0.792,-1.398,0.508,9.58,0.298,0.645,48.8,O,3579,99.08,93.9,1,2015,96.85,41.35
0.664,25.6,188.2,0.288,542,Li,0.76,-0.672,-1.192,0.398,10.08,0.388,1.085,43.8,O,3579,97.68,87.9,1,1810,92.05,25.95
0.744,20.6,202.2,0.238,482,K,1.38,-0.572,-1.082,0.328,12.38,0.568,1.685,50.8,F,2950,95.88,69.6,0,1345,81.05,15.35
0.644,27.6,185.2,0.308,577,Li,0.76,-0.702,-1.242,0.438,9.88,0.348,0.925,42.2,O,3579,98.18,89.6,1,1880,93.85,28.15
0.794,18.2,212.2,0.158,387,Na,1.02,-0.502,-0.942,0.268,11.98,0.648,2.355,57.8,OH,3120,94.58,61.1,0,1100,74.85,6.65
0.584,33.6,170.2,0.368,600,Li,0.76,-0.762,-1.338,0.488,9.68,0.318,0.705,47.2,O,3579,98.68,92.9,1,1980,95.95,37.35
0.694,22.6,196.2,0.278,522,Li,0.76,-0.682,-1.202,0.408,10.08,0.378,1.105,44.8,O,3579,97.88,88.3,1,1845,92.85,24.65
0.764,19.2,210.2,0.198,432,K,1.38,-0.532,-1.002,0.298,12.48,0.598,2.055,58.8,F,2950,95.48,66.9,0,1255,79.25,10.95
0.604,30.6,176.2,0.348,594,Li,0.76,-0.722,-1.272,0.452,9.78,0.338,0.855,40.2,O,3579,98.48,91.1,1,1910,94.85,33.95
0.814,15.8,220.2,0.138,372,Na,1.02,-0.472,-0.902,0.238,12.18,0.698,2.605,59.8,OH,3120,93.88,59.3,0,1055,73.05,5.35
0.554,38.6,164.2,0.398,610,Li,0.76,-0.812,-1.438,0.528,9.48,0.278,0.605,50.2,O,3579,99.18,94.3,1,2040,97.05,40.15
0.674,25.2,192.2,0.308,572,Li,0.76,-0.692,-1.222,0.418,9.98,0.368,1.025,43.2,O,3579,97.98,88.6,1,1840,92.85,27.35
0.724,22.2,199.2,0.258,502,K,1.38,-0.582,-1.092,0.338,12.28,0.558,1.585,49.8,F,2950,96.08,70.9,0,1370,81.55,16.95
0.594,32.6,174.2,0.368,597,Li,0.76,-0.742,-1.318,0.468,9.78,0.328,0.785,45.2,O,3579,98.58,92.3,1,1955,95.55,36.65
0.834,17.2,214.2,0.148,377,Na,1.02,-0.492,-0.912,0.248,12.08,0.668,2.505,58.8,OH,3120,94.28,60.6,0,1075,74.25,5.95
0.574,37.2,166.2,0.388,604,Li,0.76,-0.792,-1.388,0.508,9.58,0.298,0.665,48.2,O,3579,98.98,93.9,1,2020,96.75,39.35
0.644,27.2,184.2,0.328,584,Li,0.76,-0.712,-1.252,0.428,9.88,0.358,0.935,42.2,O,3579,98.28,89.9,1,1890,94.15,30.25
0.704,24.2,197.2,0.288,532,Li,0.76,-0.672,-1.172,0.398,10.22,0.388,1.155,46.2,O,3579,97.78,87.6,1,1815,92.25,25.15
0.774,20.2,206.2,0.208,442,K,1.38,-0.542,-1.022,0.308,12.38,0.588,1.955,54.8,F,2950,95.68,67.6,0,1285,79.85,11.65
0.614,30.2,177.2,0.338,590,Li,0.76,-0.732,-1.282,0.458,9.78,0.348,0.875,41.2,O,3579,98.38,90.9,1,1915,94.65,32.35
0.804,17.8,211.2,0.168,397,Na,1.02,-0.502,-0.942,0.268,11.88,0.648,2.325,56.8,OH,3120,94.68,62.2,0,1120,75.55,7.35
0.564,38.2,163.2,0.408,614,Li,0.76,-0.822,-1.448,0.538,9.48,0.268,0.585,51.2,O,3579,99.28,94.6,1,2045,97.25,41.95
0.684,23.4,194.2,0.298,550,Li,0.76,-0.682,-1.192,0.408,10.08,0.378,1.085,43.8,O,3579,97.88,88,1,1835,92.65,26.65
0.744,21.4,201.2,0.248,492,K,1.38,-0.562,-1.062,0.318,12.48,0.578,1.755,52.2,F,2950,95.98,69.1,0,1335,80.55,14.35
0.634,28.4,183.2,0.318,580,Li,0.76,-0.702,-1.242,0.438,9.88,0.358,0.945,43.2,O,3579,98.18,89.3,1,1875,93.95,29.15
0.794,18.8,209.2,0.178,407,Na,1.02,-0.512,-0.952,0.278,11.78,0.638,2.255,55.8,OH,3120,94.88,63.2,0,1140,76.85,8.15
0.584,35.2,169.2,0.378,602,Li,0.76,-0.772,-1.368,0.498,9.72,0.308,0.705,47.2,O,3579,98.88,93.1,1,1990,96.05,37.95
0.664,26.4,189.2,0.298,562,Li,0.76,-0.692,-1.212,0.418,9.98,0.368,1.005,44.2,O,3579,98.08,88.9,1,1850,93.05,27.95
0.714,22.8,198.2,0.268,512,K,1.38,-0.592,-1.112,0.348,12.28,0.548,1.525,48.8,F,2950,96.18,71.3,0,1380,82.05,17.65
0.604,31.2,176.2,0.348,592,Li,0.76,-0.722,-1.272,0.448,9.78,0.348,0.865,40.2,O,3579,98.48,91.3,1,1905,94.75,33.65
0.616,28.3,179.7,0.321,583,Li,0.76,-0.681,-1.211,0.413,10.09,0.381,0.916,42.3,O,3579,98.14,89.15,1,1856,93.32,28.68
0.777,14.9,219.8,0.178,419,Na,1.02,-0.519,-0.979,0.293,11.77,0.609,2.097,57.7,OH,3120,95.26,64.85,0,1206,78.42,8.18
0.551,34.9,160.3,0.419,621,Li,0.76,-0.749,-1.349,0.479,9.71,0.321,0.682,38.1,O,3579,98.69,92.52,1,1979,95.78,42.08
0.703,21.9,200.3,0.281,511,K,1.38,-0.589,-1.099,0.341,12.29,0.551,1.451,47.9,F,2950,96.19,71.88,0,1386,82.28,18.92
0.583,39.8,170.2,0.379,599,Li,0.76,-0.799,-1.419,0.519,9.51,0.291,0.623,51.8,O,3579,98.99,93.98,1,2019,96.48,38.42
0.649,25.1,189.7,0.249,491,Li,0.76,-0.721,-1.281,0.449,9.99,0.351,1.049,44.9,O,3579,97.79,87.48,1,1786,91.82,22.58
0.823,17.9,210.3,0.149,381,Na,1.02,-0.479,-0.919,0.251,12.01,0.679,2.449,54.9,OH,3120,94.09,60.18,0,1086,74.08,6.08
0.603,29.9,175.3,0.349,591,Li,0.76,-0.701,-1.251,0.439,9.91,0.359,0.883,40.1,O,3579,98.41,90.58,1,1886,93.98,32.88
0.729,20.1,204.7,0.219,461,Na,1.02,-0.549,-1.049,0.309,11.49,0.579,1.819,49.9,F,3120,95.79,68.08,0,1326,80.22,12.52
0.563,37.7,165.3,0.399,611,Li,0.76,-0.779,-1.379,0.499,9.61,0.301,0.653,47.9,O,3579,98.89,93.22,1,1999,96.18,40.58
0.683,23.7,195.3,0.299,549,Li,0.76,-0.661,-1.181,0.389,10.21,0.399,1.119,43.9,O,3579,97.49,87.98,1,1826,92.48,26.88
0.753,16.4,215.3,0.189,401,K,1.38,-0.499,-0.949,0.271,12.09,0.639,2.279,59.9,F,2950,94.79,63.48,0,1156,76.78,9.28
0.593,31.7,172.3,0.359,596,Li,0.76,-0.731,-1.299,0.459,9.81,0.339,0.819,41.1,O,3579,98.59,91.78,1,1926,94.98,35.28
0.803,18.9,208.3,0.159,391,Na,1.02,-0.489,-0.929,0.261,11.89,0.659,2.379,56.9,OH,3120,94.49,61.78,0,1106,74.98,6.78
0.573,36.4,168.3,0.389,606,Li,0.76,-0.769,-1.359,0.489,9.69,0.311,0.683,46.1,O,3579,98.79,93.48,1,2009,96.38,39.88
0.633,26.9,182.3,0.329,586,Li,0.76,-0.691,-1.231,0.419,9.99,0.369,0.949,43.1,O,3579,97.99,88.78,1,1868,93.48,29.58
0.713,23.4,198.3,0.269,506,K,1.38,-0.599,-1.119,0.349,12.19,0.541,1.489,48.9,F,2950,95.99,71.48,0,1398,82.78,18.28
0.613,28.7,178.3,0.339,589,Li,0.76,-0.711,-1.261,0.431,9.89,0.359,0.899,41.1,O,3579,98.29,89.98,1,1896,94.18,31.58
0.773,16.9,218.3,0.169,411,Na,1.02,-0.511,-0.959,0.279,11.89,0.629,2.199,55.9,OH,3120,94.79,62.48,0,1126,76.18,7.48
0.543,36.9,162.3,0.409,616,Li,0.76,-0.789,-1.399,0.509,9.59,0.299,0.643,48.9,O,3579,99.09,93.78,1,2016,96.78,41.28
0.663,25.9,188.3,0.289,541,Li,0.76,-0.671,-1.191,0.399,10.09,0.389,1.079,43.9,O,3579,97.69,87.78,1,1811,91.98,25.88
0.743,20.9,202.3,0.239,481,K,1.38,-0.571,-1.081,0.329,12.39,0.569,1.679,50.9,F,2950,95.89,69.48,0,1346,80.98,15.28
0.643,27.7,185.3,0.309,576,Li,0.76,-0.701,-1.241,0.439,9.89,0.351,0.923,42.1,O,3579,98.19,89.48,1,1881,93.78,28.08
0.793,18.4,212.3,0.159,386,Na,1.02,-0.501,-0.941,0.271,11.99,0.649,2.349,57.9,OH,3120,94.59,60.98,0,1098,74.78,6.48
0.583,33.7,170.3,0.369,599,Li,0.76,-0.759,-1.339,0.489,9.71,0.321,0.703,47.1,O,3579,98.69,92.78,1,1981,95.88,37.28
0.693,22.7,196.3,0.279,521,Li,0.76,-0.679,-1.199,0.409,10.11,0.379,1.099,44.9,O,3579,97.89,88.18,1,1846,92.78,24.58
0.763,19.4,210.3,0.199,431,K,1.38,-0.531,-1.001,0.299,12.49,0.599,2.049,58.9,F,2950,95.49,66.78,0,1256,79.18,10.88
0.603,30.7,176.3,0.349,593,Li,0.76,-0.721,-1.271,0.449,9.81,0.341,0.853,40.1,O,3579,98.49,90.98,1,1911,94.78,33.88
0.813,15.9,219.7,0.139,371,Na,1.02,-0.471,-0.901,0.241,12.19,0.699,2.599,59.9,OH,3120,93.89,59.18,0,1056,72.98,5.18
0.551,38.7,164.3,0.399,609,Li,0.76,-0.809,-1.439,0.529,9.51,0.281,0.603,50.1,O,3579,99.19,94.18,1,2038,96.98,39.98
0.673,25.4,192.3,0.309,571,Li,0.76,-0.691,-1.221,0.419,9.99,0.369,1.019,43.1,O,3579,97.99,88.48,1,1841,92.78,27.28
0.723,22.4,199.3,0.259,501,K,1.38,-0.579,-1.089,0.339,12.29,0.559,1.579,49.9,F,2950,96.09,70.78,0,1371,81.48,16.88
0.593,32.7,174.3,0.369,596,Li,0.76,-0.739,-1.319,0.469,9.81,0.331,0.783,45.1,O,3579,98.59,92.18,1,1956,95.48,36.58
0.833,17.4,214.3,0.149,376,Na,1.02,-0.491,-0.911,0.251,12.09,0.669,2.499,58.9,OH,3120,94.29,60.48,0,1076,74.18,5.88
0.573,37.4,166.3,0.389,603,Li,0.76,-0.789,-1.389,0.509,9.61,0.299,0.663,48.1,O,3579,98.99,93.78,1,2018,96.68,39.28
0.643,27.4,184.3,0.329,583,Li,0.76,-0.711,-1.251,0.429,9.89,0.359,0.933,42.1,O,3579,98.29,89.78,1,1891,94.08,30.18
0.703,24.4,197.3,0.289,531,Li,0.76,-0.671,-1.171,0.399,10.21,0.389,1.149,45.9,O,3579,97.79,87.48,1,1816,92.18,25.08
0.773,20.4,206.3,0.209,441,K,1.38,-0.541,-1.021,0.311,12.39,0.589,1.949,54.9,F,2950,95.69,67.48,0,1286,79.78,11.58
0.613,30.4,177.3,0.339,589,Li,0.76,-0.731,-1.281,0.459,9.79,0.349,0.873,41.1,O,3579,98.39,90.78,1,1916,94.58,32.28
0.803,17.9,211.3,0.169,396,Na,1.02,-0.501,-0.941,0.279,11.89,0.649,2.319,56.9,OH,3120,94.69,62.18,0,1121,75.48,7.28
0.563,38.4,163.3,0.409,613,Li,0.76,-0.819,-1.449,0.539,9.51,0.271,0.583,51.1,O,3579,99.29,94.48,1,2043,97.18,41.88
0.683,23.5,194.3,0.299,549,Li,0.76,-0.681,-1.191,0.409,10.11,0.379,1.079,43.9,O,3579,97.89,87.98,1,1836,92.58,26.58
0.743,21.7,201.3,0.249,491,K,1.38,-0.561,-1.061,0.319,12.49,0.579,1.749,51.9,F,2950,95.99,68.98,0,1336,80.48,14.28
0.633,28.5,183.3,0.319,579,Li,0.76,-0.701,-1.241,0.439,9.89,0.359,0.943,43.1,O,3579,98.19,89.18,1,1876,93.88,29.08
0.793,18.9,209.3,0.179,406,Na,1.02,-0.511,-0.951,0.279,11.79,0.639,2.249,55.9,OH,3120,94.89,63.18,0,1141,76.78,8.08
0.583,35.4,169.3,0.379,601,Li,0.76,-0.771,-1.369,0.499,9.71,0.311,0.703,47.1,O,3579,98.89,92.98,1,1991,95.98,37.88
0.663,26.7,189.3,0.299,559,Li,0.76,-0.691,-1.211,0.419,9.99,0.369,0.999,43.9,O,3579,98.09,88.78,1,1851,92.98,27.88
0.713,22.9,198.3,0.269,511,K,1.38,-0.589,-1.109,0.349,12.29,0.551,1.519,48.9,F,2950,96.19,71.18,0,1381,81.98,17.58
0.603,31.4,176.3,0.349,591,Li,0.76,-0.721,-1.271,0.449,9.79,0.349,0.863,40.1,O,3579,98.49,91.18,1,1906,94.68,33.58
0.617,28.2,179.6,0.323,584,Li,0.76,-0.683,-1.213,0.415,10.07,0.383,0.917,42.2,O,3579,98.16,89.22,1,1857,93.34,28.72
0.776,15.1,219.6,0.177,421,Na,1.02,-0.517,-0.977,0.291,11.79,0.607,2.096,57.9,OH,3120,95.24,64.78,0,1204,78.38,8.14
0.553,34.7,160.4,0.417,619,Li,0.76,-0.747,-1.347,0.477,9.73,0.323,0.688,38.3,O,3579,98.67,92.58,1,1977,95.74,42.04
0.704,21.7,200.4,0.283,513,K,1.38,-0.587,-1.097,0.343,12.27,0.553,1.447,47.7,F,2950,96.21,71.84,0,1384,82.24,18.84
